Rep,Plot,Clone,First Rust Rating,Canker
1,1,05X-287-033,1,0
1,2,10X-400-077,0,0
1,3,10X-400-069,0,0
1,4,06X-330-056 ,0,0
1,5,10X-400-015,10,0
1,6,10X-400-085,35,0
1,7,10X-400-005,8,1
1,8,10X-239-016,Dead,0
1,9,10X-400-088,8,1
1,10,05X-291-050,4,0
1,11,10X-218-010,6,0
1,12,10X-400-006,6,0
1,13,10X-239-022,0,0
1,14,10X-239-029,Dead ,0
1,15,05X-287-139,0,0
1,16,10X-405-020,4,0
1,17,10X-239-020,8,0
1,18,10X-400-104,16,1
1,19,01X-271-009,0,0
1,20,10X-400-010,0,0
1,21,10X-405-009,Dead,0
1,22,07X-357-058,0,0
1,23,10X-218-013,0,0
1,24,10X-405-013,Dead ,0
1,25,SX61,0,0
1,26,07X-357-095,0,0
1,27,01-200-002,0,0
1,28,07X-357-065,0,0
1,29,94006,0,1
1,30,10X-239-008,0,0
1,31,10X-400-025,25,1
1,32,95058,0,0
1,33,07X-357-098,0,0
1,34,04-FF-025,15,0
1,35,10X-400-066,28,0
1,36,10X-400-040,5,1
1,37,10X-405-028,3,0
1,38,10X-400-087,16,1
1,39,05X-287-028,0,0
1,40,10X-218-001,0,0
1,41,10X-400-093,6,0
1,42,10X-400-082,4,0
1,43,10X-218-014,0,0
1,44,06X-330-101 ,0,0
1,45,95026,0,0
1,46,10X-218-016,0,0
1,47,01-200-006,0,0
1,48,P63,4,0
1,49,05X-287-159,0,0
1,50,05X-287-154,0,0
1,51,10X-405-031,8,0
1,52,10X-400-054,15,1
1,53,10X-239-028,0,0
1,54,10X-218-015,0,0
1,55,10X-239-010,0,0
1,56,10X-405-012,3,0
1,57,10X-400-049,7,0
1,58,India,0,0
1,59,10X-400-007,5,1
1,60,10X-400-084,40,0
1,61,10X-239-033,0,0
1,62,05X-295-015,0,0
1,63,05X-287-151,3,0
1,64,10X-400-078,4,0
1,65,10X-400-048,Dead,0
1,66,10X-405-023,19,0
1,67,10X-218-020,0,0
1,68,9882-34,0,0
1,69,10X-405-005,4,0
1,70,04-BN-041,0,0
1,71,07X-356-021,0,0
1,72,01-200-004,Dead,0
1,73,SX64,0,0
1,74,10X-400-081,5,0
1,75,10X-405-003,0,0
1,76,10X-400-014,0,0
1,77,10X-239-030,0,0
1,78,10X-400-092,19,1
1,79,10X-239-003,0,0
1,80,10X-405-002,2,0
1,81,10X-400-079,8,0
1,82,10X-218-011,0,0
1,83,05X-287-147,0,0
1,84,10X-400-035,9,0
1,85,07X-357-107,0,0
1,86,10X-400-046,30,0
1,87,10X-239-018,4,0
1,88,10X-239-005,4,0
1,89,SH3,0,0
1,90,10X-239-015,4,0
1,91,10X-239-011,0,0
1,92,10X-405-010,18,1
1,93,10X-400-063,15,0
1,94,Stina,Dead,0
1,95,10X-405-007,5,0
1,96,10X-400-067,0,0
1,97,10X-218-002,0,0
